id	type	license	datasetID	basisOfRecord	occurrenceID	occurrenceRemarks	sex	lifeStage	reproductiveCondition	organismName	samplingProtocol	eventDateRange	decimalLatitude	decimalLongitude	geodeticDatum	scientificNameID	scientificName	taxonRank	footprintWKT
F53:deployment1	occurrence	https://creativecommons.org/publicdomain/zero/1.0/	doi:10.5441/001/1.7d8301h2	MachineObservation	F53:deployment1:2014-03-22		f	adult		F53		2014-03-22T03:01:31Z/2014-03-22T23:00:50Z	38.250507	-112.029456	WGS84	TSN 552479 (itis.gov)	Puma concolor	species	POLYGON ((-112.0329192 38.2372331, -112.0335317 38.24661, -112.0339522 38.2645522, -112.0178989 38.2457622, -112.0329192 38.2372331))
F53:deployment1	occurrence	https://creativecommons.org/publicdomain/zero/1.0/	doi:10.5441/001/1.7d8301h2	MachineObservation	F53:deployment1:2014-03-23		f	adult		F53		2014-03-23T03:00:55Z/2014-03-23T23:01:06Z	38.260989	-112.029342	WGS84	TSN 552479 (itis.gov)	Puma concolor	species	POLYGON ((-112.0317303 38.25795170000001, -112.036505 38.2623081, -112.0351969 38.2651039, -112.0160722 38.2593969, -112.0317303 38.25795170000001))
F53:deployment1	occurrence	https://creativecommons.org/publicdomain/zero/1.0/	doi:10.5441/001/1.7d8301h2	MachineObservation	F53:deployment1:2014-03-24		f	adult		F53		2014-03-24T03:01:38Z/2014-03-24T23:00:56Z	38.257889	-112.031518	WGS84	TSN 552479 (itis.gov)	Puma concolor	species	POLYGON ((-112.0317636 38.2576597, -112.0316406 38.2578128, -112.0311264 38.2582719, -112.0314564 38.25791829999999, -112.0316025 38.2577836, -112.0317636 38.2576597))
F53:deployment1	occurrence	https://creativecommons.org/publicdomain/zero/1.0/	doi:10.5441/001/1.7d8301h2	MachineObservation	F53:deployment1:2014-03-25		f	adult		F53		2014-03-25T03:02:13Z/2014-03-25T23:00:56Z	38.257857	-112.031594	WGS84	TSN 552479 (itis.gov)	Puma concolor	species	POLYGON ((-112.0316008 38.25778560000001, -112.0316328 38.25783939999999, -112.0316714 38.2579108, -112.0314706 38.2579217, -112.0316008 38.25778560000001))
F53:deployment1	occurrence	https://creativecommons.org/publicdomain/zero/1.0/	doi:10.5441/001/1.7d8301h2	MachineObservation	F53:deployment1:2014-03-26		f	adult		F53		2014-03-26T03:01:23Z/2014-03-26T23:01:00Z	38.261294	-112.033645	WGS84	TSN 552479 (itis.gov)	Puma concolor	species	POLYGON ((-112.0315256 38.25635579999999, -112.0328639 38.2572039, -112.0372392 38.2617086, -112.0352269 38.27473079999999, -112.0313689 38.2564733, -112.0315256 38.25635579999999))
F53:deployment1	occurrence	https://creativecommons.org/publicdomain/zero/1.0/	doi:10.5441/001/1.7d8301h2	MachineObservation	F53:deployment1:2014-03-27		f	adult		F53		2014-03-27T03:02:19Z/2014-03-27T23:01:01Z	38.290385	-112.052497	WGS84	TSN 552479 (itis.gov)	Puma concolor	species	POLYGON ((-112.0485903 38.2875853, -112.05742 38.2912267, -112.0527228 38.2929808, -112.0489686 38.28921029999999, -112.0485903 38.2875853))
F53:deployment1	occurrence	https://creativecommons.org/publicdomain/zero/1.0/	doi:10.5441/001/1.7d8301h2	MachineObservation	F53:deployment1:2014-03-28		f	adult		F53		2014-03-28T03:00:59Z/2014-03-28T23:01:00Z	38.294814	-112.042559	WGS84	TSN 552479 (itis.gov)	Puma concolor	species	POLYGON ((-112.0581664 38.2899347, -112.0637256 38.2958114, -112.0295978 38.2967369, -112.0314161 38.2949342, -112.0581664 38.2899347))
F53:deployment1	occurrence	https://creativecommons.org/publicdomain/zero/1.0/	doi:10.5441/001/1.7d8301h2	MachineObservation	F53:deployment1:2014-03-29		f	adult		F53		2014-03-29T03:01:02Z/2014-03-29T23:02:11Z	38.318780	-112.031915	WGS84	TSN 552479 (itis.gov)	Puma concolor	species	POLYGON ((-112.0339397 38.3100531, -112.0380394 38.3101244, -112.0314028 38.3312036, -112.0261536 38.3103553, -112.0339397 38.3100531))
F53:deployment1	occurrence	https://creativecommons.org/publicdomain/zero/1.0/	doi:10.5441/001/1.7d8301h2	MachineObservation	F53:deployment1:2014-03-30		f	adult		F53		2014-03-30T03:00:59Z/2014-03-30T19:02:23Z	38.329496	-112.028965	WGS84	TSN 552479 (itis.gov)	Puma concolor	species	POLYGON ((-112.0287872 38.3280283, -112.0292811 38.3306386, -112.0290567 38.3306944, -112.0287358 38.3286219, -112.0287872 38.3280283))
F53:deployment1	occurrence	https://creativecommons.org/publicdomain/zero/1.0/	doi:10.5441/001/1.7d8301h2	MachineObservation	F53:deployment1:2014-03-31		f	adult		F53		2014-03-31T07:01:07Z/2014-03-31T23:01:32Z	38.330468	-112.029260	WGS84	TSN 552479 (itis.gov)	Puma concolor	species	POLYGON ((-112.0286961 38.3301403, -112.0297739 38.33047970000001, -112.0292642 38.3306406, -112.0286961 38.3301403))
